edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ns
759,9.268587459847545e-05,9.26859395438992e-05,-6.494542373694055e-11,-0.06494542373694055
760,9.271444916157132e-05,9.271450974806225e-05,-6.058649092588701e-11,-0.06058649092588701
761,9.274302377985165e-05,9.274307995222532e-05,-5.617237366082184e-11,-0.05617237366082184
762,9.277159847094665e-05,9.277165015638839e-05,-5.1685441730218246e-11,-0.051685441730218246
763,9.280017321239044e-05,9.280022036055145e-05,-4.714816100926505e-11,-0.04714816100926505
764,9.282874800152564e-05,9.282879056471452e-05,-4.256318887748701e-11,-0.04256318887748701
765,9.285732283362228e-05,9.285736076887758e-05,-3.793525528883434e-11,-0.03793525528883434
766,9.28858976978925e-05,9.288593097304064e-05,-3.3275148136238435e-11,-0.033275148136238435
767,9.291447259647894e-05,9.291450117720371e-05,-2.858072476515592e-11,-0.02858072476515592
768,9.294304751416621e-05,9.294307138136677e-05,-2.386720055716733e-11,-0.02386720055716733
769,9.297162245853174e-05,9.297164158552984e-05,-1.9126998091051804e-11,-0.019126998091051804
770,9.300019741180389e-05,9.30002117896929e-05,-1.4377889012509526e-11,-0.014377889012509526
771,9.302875879534243e-05,9.302878199385596e-05,-2.3198513527591197e-11,-0.023198513527591197
772,9.305732067153334e-05,9.305735219801903e-05,-3.1526485682793703e-11,-0.0315264856827937
773,9.308588480304325e-05,9.30859224021821e-05,-3.759913884599624e-11,-0.03759913884599624
774,9.31144506046291e-05,9.311449260634516e-05,-4.200171605287286e-11,-0.04200171605287286
775,9.314301767941272e-05,9.314306281050823e-05,-4.5131095512431406e-11,-0.045131095512431406
776,9.317158580727734e-05,9.317163301467129e-05,-4.720739394195138e-11,-0.04720739394195138
777,9.320015481226625e-05,9.320020321883435e-05,-4.840656809765113e-11,-0.04840656809765113
778,9.322872454942048e-05,9.322877342299742e-05,-4.887357693485172e-11,-0.04887357693485172
779,9.325729491727896e-05,9.325734362716048e-05,-4.87098815158697e-11,-0.0487098815158697
780,9.328586582775998e-05,9.328591383132355e-05,-4.800356356361007e-11,-0.04800356356361007
781,9.331443721284139e-05,9.331448403548661e-05,-4.6822645217643156e-11,-0.046822645217643157
782,9.33430090218131e-05,9.334305423964967e-05,-4.521783656514002e-11,-0.04521783656514002
783,9.337158118811596e-05,9.337162444381274e-05,-4.325569677746955e-11,-0.04325569677746955
784,9.340015366807561e-05,9.34001946479758e-05,-4.0979900187987306e-11,-0.040979900187987306
785,9.342872643869396e-05,9.342876485213887e-05,-3.841344490672858e-11,-0.03841344490672858
786,9.345729947484096e-05,9.345733505630194e-05,-3.5581460978223053e-11,-0.03558146097822305
787,9.348587271545817e-05,9.3485905260465e-05,-3.25450068199074e-11,-0.0325450068199074
788,9.351444615990878e-05,9.351447546462806e-05,-2.930471927858521e-11,-0.02930471927858521
789,9.35430197956764e-05,9.354304566879113e-05,-2.5873114722948835e-11,-0.025873114722948835
790,9.357159356405891e-05,9.357161587295419e-05,-2.2308895273853484e-11,-0.022308895273853484
791,9.36001674788944e-05,9.360018607711725e-05,-1.8598222852395908e-11,-0.01859822285239591
792,9.362874152780532e-05,9.362875628128032e-05,-1.4753474995180274e-11,-0.014753474995180274
793,9.36573156726348e-05,9.365732648544339e-05,-1.0812808584916476e-11,-0.010812808584916477
794,9.368588993251891e-05,9.368589668960646e-05,-6.757087548127837e-12,-0.006757087548127837
795,9.371446425416821e-05,9.371446689376951e-05,-2.6396013025062823e-12,-0.0026396013025062823
796,9.374303866804546e-05,9.374303709793258e-05,1.5701128855208219e-12,0.0015701128855208218
797,9.377161314013841e-05,9.377160730209565e-05,5.838042767098449e-12,0.005838042767098449
798,9.38001876709512e-05,9.38001775062587e-05,1.0164692496236805e-11,0.010164692496236805
799,9.382876225842551e-05,9.382874771042177e-05,1.454800374221648e-11,0.01454800374221648
800,9.385733688217779e-05,9.385731791458484e-05,1.8967592948541133e-11,0.018967592948541133
801,9.388591155448538e-05,9.38858881187479e-05,2.343573748508672e-11,0.02343573748508672
802,9.391448624650984e-05,9.391445832291096e-05,2.792359887510773e-11,0.02792359887510773
803,9.394306098114063e-05,9.394302852707403e-05,3.24540666051343e-11,0.0324540666051343
804,9.39716357216599e-05,9.39715987312371e-05,3.6990422799789965e-11,0.036990422799789965
805,9.40002104975989e-05,9.400016893540017e-05,4.156219874100845e-11,0.04156219874100845
806,9.402877160430961e-05,9.402873913956322e-05,3.246474638955657e-11,0.03246474638955657
807,9.405733319856841e-05,9.405730934372629e-05,2.385484212323359e-11,0.02385484212323359
808,9.40858970766595e-05,9.408587954788936e-05,1.7528770146319504e-11,0.017528770146319504
809,9.411446261395741e-05,9.411444975205241e-05,1.2861904998952171e-11,0.012861904998952171
810,9.414302945478945e-05,9.414301995621548e-05,9.498573968712343e-12,0.009498573968712343
811,9.417159732859764e-05,9.417159016037855e-05,7.168219092630657e-12,0.007168219092630657
812,9.420016608846461e-05,9.42001603645416e-05,5.7239230074493594e-12,0.005723923007449359
813,9.422873558879091e-05,9.422873056870467e-05,5.020086238308935e-12,0.005020086238308935
814,9.425730572176854e-05,9.425730077286774e-05,4.948900803375109e-12,0.004948900803375109
815,9.428587640207888e-05,9.428587097703081e-05,5.425048068979456e-12,0.005425048068979456
816,9.431444756375811e-05,9.431444118119388e-05,6.382564239823585e-12,0.006382564239823585
817,9.434301915132578e-05,9.434301138535693e-05,7.76596884759772e-12,0.007765968847597719
818,9.437159109701761e-05,9.437158158952e-05,9.507497616665729e-12,0.009507497616665729
819,9.440016336324077e-05,9.440015179368307e-05,1.1569557706945427e-11,0.011569557706945427
820,9.442873592196299e-05,9.442872199784612e-05,1.3924116867979293e-11,0.013924116867979293
821,9.445730873890301e-05,9.445729220200919e-05,1.6536893819695725e-11,0.016536893819695725
822,9.448588178132136e-05,9.448586240617226e-05,1.937514909882756e-11,0.01937514909882756
