period_number,period_s,period_error_s,period_error_ps
1215,7.813188550258158e-09,6.982359411556614e-13,0.6982359411556615
1216,7.813159992034122e-09,6.696777171192144e-13,0.6696777171192143
1217,7.81313193692055e-09,6.41622603548382e-13,0.641622603548382
1218,7.813172019414082e-09,6.817050970792478e-13,0.6817050970792478
1219,7.81316473887452e-09,6.744245575182632e-13,0.6744245575182632
1220,7.813109621288678e-09,6.193069716756176e-13,0.6193069716756177
1221,7.813160543649082e-09,6.702293320795207e-13,0.6702293320795206
1222,7.813151688400733e-09,6.61374083730691e-13,0.661374083730691
1223,7.813120758240499e-09,6.304439234964431e-13,0.6304439234964431
1224,7.81311341877455e-09,6.231044575473839e-13,0.6231044575473839
1225,7.813150610337855e-09,6.602960208530072e-13,0.6602960208530072
1226,7.813105401709348e-09,6.150873923455756e-13,0.6150873923455756
1227,7.813085158773873e-09,5.948444568710061e-13,0.5948444568710061
1228,7.813141167817847e-09,6.508535008449236e-13,0.6508535008449235
1229,7.813103422552492e-09,6.13108235489812e-13,0.613108235489812
1230,7.813052506751511e-09,5.621924345090525e-13,0.5621924345090524
1231,7.813129802289103e-09,6.394879721010839e-13,0.6394879721010839
1232,7.81309601276248e-09,6.0569844547734e-13,0.60569844547734
1233,7.813039150275213e-09,5.488359582108234e-13,0.5488359582108233
1234,7.81310342308104e-09,6.13108764038371e-13,0.613108764038371
1235,7.813084427818321e-09,5.941135013188435e-13,0.5941135013188436
1236,7.813035672005566e-09,5.453576885636911e-13,0.5453576885636912
1237,7.81306756542522e-09,5.772511082180838e-13,0.5772511082180838
1238,7.813074208846927e-09,5.838945299249344e-13,0.5838945299249344
1239,7.81303871603869e-09,5.484017216882158e-13,0.5484017216882158
1240,7.81301850396232e-09,5.281896453179806e-13,0.5281896453179806
1241,7.813072503708618e-09,5.821893916157393e-13,0.5821893916157393
1242,7.813037618717672e-09,5.473044006694432e-13,0.5473044006694432
1243,7.81298702934286e-09,4.967150258577648e-13,0.4967150258577648
1244,7.813058581454969e-09,5.682671379663258e-13,0.5682671379663258
1245,7.813030923796362e-09,5.406094793593995e-13,0.5406094793593995
1246,7.812976229076471e-09,4.859147594690776e-13,0.4859147594690776
1247,7.813030276541217e-09,5.399622242149528e-13,0.5399622242149528
1248,7.813019524426958e-09,5.292101099552511e-13,0.5292101099552511
1249,7.81298839690127e-09,4.980825842680294e-13,0.49808258426802937
1250,7.812978331371589e-09,4.880170545865813e-13,0.4880170545865813
1251,7.813021388766803e-09,5.310744498009486e-13,0.5310744498009485
1252,7.812989588276828e-09,4.992739598252651e-13,0.49927395982526507
1253,7.812940432528996e-09,4.5011821199373707e-13,0.4501182119937371
1254,7.813013359233277e-09,5.230449162741567e-13,0.5230449162741567
1255,7.812986092375343e-09,4.957780583403028e-13,0.4957780583403028
1256,7.812933585345043e-09,4.4327102804109496e-13,0.44327102804109497
1257,7.81298117873044e-09,4.90864413437017e-13,0.49086441343701703
1258,7.812977614917241e-09,4.873006002384757e-13,0.4873006002384757
1259,7.812948540802706e-09,4.582264857033057e-13,0.4582264857033057
1260,7.812923801572402e-09,4.3348725539922155e-13,0.43348725539922156
1261,7.812984320423075e-09,4.940061060722283e-13,0.4940061060722283
1262,7.812951096836432e-09,4.607825194299946e-13,0.4607825194299946
1263,7.812901064660222e-09,4.107503432198108e-13,0.4107503432198108
1264,7.812962854710837e-09,4.725403938350024e-13,0.47254039383500246
1265,7.81294687863946e-09,4.565643224577225e-13,0.4565643224577225
1266,7.812906979172808e-09,4.166648558060994e-13,0.4166648558060994
1267,7.812921146103783e-09,4.308317867807886e-13,0.4308317867807886
1268,7.812947157035473e-09,4.568427184705624e-13,0.45684271847056246
1269,7.812919258873719e-09,4.2894455671672454e-13,0.42894455671672455
1270,7.812873638302596e-09,3.833239855938571e-13,0.3833239855938571
1271,7.812944809602244e-09,4.5449528524185977e-13,0.4544952852418598
1272,7.812921913908657e-09,4.315995916542885e-13,0.4315995916542885
1273,7.812871467580769e-09,3.811532637667424e-13,0.3811532637667424
1274,7.812912149787179e-09,4.218354701767914e-13,0.4218354701767914
1275,7.81291802807386e-09,4.2771375685799184e-13,0.42771375685799184
1276,7.812891097440573e-09,4.0078312357035283e-13,0.40078312357035284
1277,7.812850047730284e-09,3.597334132814127e-13,0.35973341328141273
1278,7.812928348079344e-09,4.380337623418494e-13,0.43803376234184943
1279,7.81287237400089e-09,3.820596838879946e-13,0.3820596838879946
1280,7.800001389422187e-09,-1.248892489481519e-11,-12.48892489481519
1281,7.803178698993231e-09,-9.311615323771003e-12,-9.311615323771003
1282,7.805547533640982e-09,-6.9427806760199274e-12,-6.942780676019927
1283,7.807483082489458e-09,-5.0072318275439274e-12,-5.007231827543928
1284,7.808369508391214e-09,-4.120805925787935e-12,-4.120805925787935
1285,7.80906895952191e-09,-3.421354795092796e-12,-3.421354795092796
1286,7.809615408421494e-09,-2.874905895508051e-12,-2.874905895508051
1287,7.810008000033925e-09,-2.4823142830770307e-12,-2.482314283077031
1288,7.810363767315879e-09,-2.1265470011232858e-12,-2.126547001123286
1289,7.810662965238176e-09,-1.827349078826199e-12,-1.8273490788261988
1290,7.810965669131486e-09,-1.5246451855164726e-12,-1.5246451855164727
1291,7.8111866277182e-09,-1.3036865988025657e-12,-1.3036865988025657
1292,7.81137253202935e-09,-1.1177822876516614e-12,-1.1177822876516614
1293,7.811548406643702e-09,-9.419076733004046e-13,-0.9419076733004046
1294,7.811703065074946e-09,-7.87249242056376e-13,-0.787249242056376
1295,7.811823777854453e-09,-6.665364625489294e-13,-0.6665364625489294
1296,7.81196616786049e-09,-5.241464565129321e-13,-0.5241464565129321
1297,7.812128060549414e-09,-3.6225376758815693e-13,-0.3622537675881569
1298,7.812203591453103e-09,-2.8672286389953573e-13,-0.2867228638995357
1299,7.812289205125287e-09,-2.0110919171492393e-13,-0.20110919171492392
1300,7.812348828953515e-09,-1.4148536348783115e-13,-0.14148536348783114
1301,7.812489984893533e-09,-3.294234696111877e-16,-0.00032942346961118774
1302,7.812547068910408e-09,5.6754593405798517e-14,0.05675459340579852
1303,7.812584293636748e-09,9.39793197453727e-14,0.0939793197453727
1304,7.812618576651543e-09,1.282623345404506e-13,0.1282623345404506
1305,7.81274831731149e-09,2.5800299448764096e-13,0.25800299448764097
1306,7.812771441812394e-09,2.8112749539118813e-13,0.28112749539118814
1307,7.81277666056534e-09,2.863462483383385e-13,0.2863462483383385
1308,7.812846479797117e-09,3.5616548011461595e-13,0.35616548011461596
1309,7.812907226181168e-09,4.169118641660459e-13,0.4169118641660459
1310,7.812918195528886e-09,4.278812118835322e-13,0.42788121188353223
1311,7.812906516286243e-09,4.1620196924108387e-13,0.4162019692410839
1312,7.813013469212034e-09,5.231548950320282e-13,0.5231548950320282
1313,7.81301405319043e-09,5.237388734271832e-13,0.5237388734271832
1314,7.812984292843682e-09,4.939785266794657e-13,0.4939785266794657
1315,7.813068772128686e-09,5.78457811683533e-13,0.578457811683533
1316,7.813078908754925e-09,5.885944379224419e-13,0.5885944379224418
1317,7.813060702560994e-09,5.703882439915222e-13,0.5703882439915221
1318,7.813090924804972e-09,6.006104879697728e-13,0.6006104879697728
1319,7.813132041098827e-09,6.417267818246307e-13,0.6417267818246307
1320,7.81311367329101e-09,6.233589740073749e-13,0.6233589740073748
1321,7.813100091029609e-09,6.097767126067257e-13,0.6097767126067256
1322,7.81317508915635e-09,6.847748393477875e-13,0.6847748393477875
1323,7.813149572146513e-09,6.592578295102165e-13,0.6592578295102165
1324,7.813110441230123e-09,6.20126913121087e-13,0.6201269131210869
1325,7.813198630736277e-09,7.083164192745627e-13,0.7083164192745627
1326,7.81317233430705e-09,6.820199900477191e-13,0.6820199900477191
1327,7.813123514295974e-09,6.331999789714284e-13,0.6331999789714283
1328,7.813202892680807e-09,7.125783638044946e-13,0.7125783638044946
1329,7.813186804164112e-09,6.964898471094007e-13,0.6964898471094007
1330,7.813133747687257e-09,6.434333702542315e-13,0.6434333702542315
