edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_µs
368,0.025300970597212053,0.025300235762958694,7.348342533589073e-07,0.7348342533589073
369,0.025334306586024573,0.02533357158889632,7.349971282530347e-07,0.7349971282530346
370,0.025367643216422,0.025366907414833943,7.358015880573613e-07,0.7358015880573613
371,0.025400976628666347,0.02540024324077157,7.333878947773935e-07,0.7333878947773934
372,0.02543431158782455,0.025433579066709195,7.325211153548509e-07,0.7325211153548509
373,0.025467644178856406,0.02546691489264682,7.292862095845124e-07,0.7292862095845124
374,0.025500975421675866,0.025500250718584448,7.247030914182832e-07,0.7247030914182832
375,0.025534306307342138,0.025533586544522074,7.197628200630861e-07,0.719762820063086
376,0.02556764456062013,0.0255669223704597,7.221901604299867e-07,0.7221901604299866
377,0.025600979437379275,0.025600258196397326,7.212409819476466e-07,0.7212409819476465
378,0.02563430771575946,0.02563359402233495,7.136934245109698e-07,0.7136934245109697
379,0.025667636689737823,0.025666929848272575,7.068414652471048e-07,0.7068414652471048
380,0.025700970492354203,0.0257002656742102,7.048181440004468e-07,0.7048181440004467
381,0.025734302580048947,0.025733601500147824,7.010799011220041e-07,0.701079901122004
382,0.02576763863701495,0.02576693732608545,7.013109294989887e-07,0.7013109294989887
383,0.02580097298653249,0.025800273152023077,6.998345094121065e-07,0.6998345094121065
384,0.025834306288109624,0.025833608977960703,6.973101489206327e-07,0.6973101489206327
385,0.025867638247820273,0.02586694480389833,6.934439219431769e-07,0.6934439219431768
386,0.025900967702502872,0.025900280629835955,6.870726669161446e-07,0.6870726669161445
387,0.02593429693908386,0.02593361645577358,6.804833102759537e-07,0.6804833102759537
388,0.025967635816583956,0.025966952281711204,6.835348727508854e-07,0.6835348727508853
389,0.026000971339678193,0.02600028810764883,6.832320293616305e-07,0.6832320293616304
390,0.0260343063965125,0.026033623933586457,6.824629260424046e-07,0.6824629260424045
391,0.026067639390453846,0.02606695975952408,6.79630929766029e-07,0.6796309297660289
392,0.02610097665944016,0.026100295585461706,6.810739784535173e-07,0.6810739784535172
393,0.026134311206237458,0.026133631411399332,6.797948381251366e-07,0.6797948381251365
394,0.026167644841066855,0.02616696723733696,6.776037298962538e-07,0.6776037298962537
395,0.026200976336599298,0.026200303063274585,6.732733247125093e-07,0.6732733247125092
396,0.026234311803527186,0.02623363888921221,6.729143149739051e-07,0.6729143149739051
397,0.026267643850381203,0.026266974715149837,6.691352313653591e-07,0.669135231365359
398,0.026300975011340873,0.026300310541087463,6.644702534093498e-07,0.6644702534093497
399,0.026334305026808457,0.026333646367025086,6.586597833702083e-07,0.6586597833702083
400,0.026367639832130637,0.026366982192962712,6.57639167923885e-07,0.657639167923885
401,0.026400972244678144,0.026400318018900335,6.542257778081876e-07,0.6542257778081876
402,0.026434297486743624,0.02643365384483796,6.436419056614355e-07,0.6436419056614354
403,0.026467624366246806,0.026466989670775588,6.346954712174728e-07,0.6346954712174727
404,0.026500961841037667,0.026500325496713214,6.363443244519766e-07,0.6363443244519765
405,0.026534294991214236,0.02653366132265084,6.336685633948073e-07,0.6336685633948073
406,0.026567633595978062,0.026566997148588466,6.36447389595202e-07,0.636447389595202
407,0.026600967097553337,0.026600332974526093,6.341230272433055e-07,0.6341230272433055
408,0.026634303463263807,0.02663366880046372,6.346628000877822e-07,0.6346628000877822
409,0.026667635494559156,0.02666700462640134,6.308681578137691e-07,0.630868157813769
410,0.026700969204925366,0.026700340452338968,6.28752586397802e-07,0.628752586397802
411,0.026734300623544337,0.026733676278276594,6.243452677419385e-07,0.6243452677419384
412,0.02676763400744057,0.026767012104214217,6.219032263533878e-07,0.6219032263533878
413,0.026800964769542274,0.026800347930151843,6.168393904298912e-07,0.6168393904298911
414,0.026834301669508853,0.02683368375608947,6.179134193824713e-07,0.6179134193824712
415,0.026867634185107323,0.026867019582027096,6.146030802269002e-07,0.6146030802269001
416,0.02690096943692772,0.026900355407964722,6.140289629974486e-07,0.6140289629974486
417,0.02693430189226674,0.026933691233902348,6.1065836439167e-07,0.61065836439167
418,0.026967637569054983,0.026967027059839974,6.105092150078543e-07,0.6105092150078543
419,0.027000970671550564,0.0270003628857776,6.077857729630546e-07,0.6077857729630546
420,0.027034301773972445,0.027033698711715223,6.030622572213155e-07,0.6030622572213155
421,0.027067630838741388,0.02706703453765285,5.963010885373658e-07,0.5963010885373657
422,0.027100965561416192,0.027100370363590472,5.951978257194572e-07,0.5951978257194571
423,0.02713429718643574,0.0271337061895281,5.909969076407788e-07,0.5909969076407787
424,0.027167635524924946,0.027167042015465725,5.93509459220765e-07,0.5935094592207649
425,0.027200969139260393,0.02720037784140335,5.912978570415954e-07,0.5912978570415953
426,0.0272343020127407,0.027233713667340977,5.883453997213021e-07,0.5883453997213021
427,0.02726763191615038,0.027267049493278604,5.824228717740691e-07,0.582422871774069
428,0.027300968583273143,0.02730038531921623,5.832640569129747e-07,0.5832640569129747
